district_name,latitude,longitude
Altstetten,47.3882368,8.4830508
Langstrasse,47.3794106,8.5275703
Schwamendingen-Mitte,47.4013068,8.5721805
Höngg,47.402152,8.4992828
Oberstrass,47.39300009999999,8.5514006
Saatlen,47.4105316,8.5643085
Gewerbeschule,47.38359579999999,8.5287876
Leimbach,47.3316654,8.514691899999999
Seefeld,47.3564943,8.553313
Weinegg,47.3521994,8.5695015
Hochschulen,47.3678971,8.549150899999999
Sihlfeld,47.3726498,8.5102932
Seebach,47.4215556,8.5383447
Escher Wyss,47.3897513,8.512388999999999
Affoltern,47.4190874,8.506471099999999
City,47.3768866,8.541694
Hirzenbach,47.3955883,8.582633399999999
Lindenhof,47.3721811,8.5413182
Alt-Wiedikon,47.3658465,8.5188879
Unterstrass,47.39257430000001,8.540619399999999
Rathaus,47.3719584,8.5442926
Enge,47.3640548,8.528543299999999
Witikon,47.36041789999999,8.5967749
Albisrieden,47.3753381,8.485453099999999
Hirslanden,47.3655652,8.572023
Hottingen,47.3719262,8.569382599999999
Wollishofen,47.3478005,8.5335226
Fluntern,47.3820158,8.5663463
Mühlebach,47.35747629999999,8.556650399999999
Wipkingen,47.3944199,8.5253565
Friesenberg,47.3588387,8.4977565
Werd,47.3719764,8.5275717
Hard,47.3822947,8.5131901
Oerlikon,47.4093339,8.5448754
